question,answer
What is her name?,"She is Andrea"
How old is she?,She is 14 years old
What is she wearing?,"She is wearing a pink t-shirt,a grey shorts and trainers"
What does she like?,"She likes read,eat pizza and maths"
What doesn't she like?,"She doesn't likes sing,eat apples and go fishing"
What is she doing?,at this moment she is riding a bike in a park.
What is her name?,she is Andrea
How old is she?,she is 14 year old
What is she doing?,now she rideing a bike with her dog
What does she look like?,she is tall and thin
What kind of hair does she have?,she has got blond long hair
What is she wearing?,"she wear pink t-shiert,withe short and withe trainers"
What does she like?,she like pizza and math
What doesn't she like?,she dosen't like sing and apple
What does she like to do?,she can rad
What doesn't she like to do?,ahe can't fishin
What is her name?,She is Andrea
How old is she?,she is 14 years old
What kind of hair does she have?,she has got blond hair
What is she wearing?,she is wearing a pink t-shirt and short
What does she like?,"She likes reading, and eating pizza."
What doesn't she like?,she dosent like singing and apples.
Who is she?,SHE IS ANDREA.
How old is she?,SHE IS 14
What is she doing?,SHE RIDES A BIKE.
What pet does she have?,SHE HAS A DOG.
What is something she doesn't like to do?,SHE NOT SING.
What does she like?,SHE LIKES READING.
What food does she like?,ANDREA LIKES PIZZA.
What is her name?,She is Andrea.
How old is she?,She is 14 years old so she is a teenager.
What is she doing?,At the moment she is riding a bike with her pet Lucy.
How is she physically?,She is tall and well-built.
What does she look like?,"She has got long, wavy, blonde hair and big blue eyes."
What does she like and dislike?,"She loves reading, eating pizza and draw but she hates apples."
What doesn't she like to do?,She can't fish and sing.
How does she describe her singing?,She says that she sings like a dog!
What is her personality like?,"She is cheerful as she is always smiling and kind because she always says ""Thank you"",""Good morning"" and things like that."
What is one of her negative traits?,"she can be a little untidy since she leaves her things anywere."
What is her name?,she is andrea
How old is she?,she is 14 old
What doesn't she like?,"shedoes not like singer,apple,fishing."
What is she wearing?,"sheis wearing shorts,t-shirt"
What does she like?,"likes,pizza,read,to writer."
How old is Andrea?,Andrea is 14 years old
What does Andrea like?,"likes to ride a bike, eat pizza and write"
What does Andrea not like?,"does not like to sing, eat apples and fish"
What's her name?,She's Andrea.
How old is she?,She's fourteen years old.
What does she like to do?,She loves read and ride your bike
What activities doesn't she do?,she doestn't sing and fish.
What is her favourite food?,"She's favourite food is pizza"
What fruit does she not like?,she doesen't like apple.
What is she wearing?,"She's wearing a pink t-shirt, a white shorts and a white trainers."
What does her dog do?,Her dog always go with she in her basket
What is her name?,She is Andrea.
How old is she?,She is 14 years old.
What does her hair look like?,She has got blond hair.
What is she wearing?,She's wearing a pink t- shirt and a white shorts.
What does Andrea like and dislike doing?,"Andrea likes reading, but she don't like singin."
What are her likes and dislikes?,She likes pizza and geometry but don' t like apples and fishing.
What pet has she got?,She has got a dog.
What is she doing?,In this moment she' s riding her bike with her dog.
Who is she?,She is Andrea
How old is she?,she is 14 years old
What does she like?,you like is read eat a pizza and studied
What does she not like?,dont like sing eat a apple and fishing
Who is this?,This is Andrea.
What is her gender?,he is a girl.
How old is she?,she has 14 years old.
What color is her hair?,she has blond hair.
What is she doing?,In this moment she walking in his bike
What is an activity she likes?,she like read
What is a food she likes?,she like pizza
What does she like?,she like probably
What does she dislike?,she don't like music
What fruit does she not like?,she don't like apple
What hobby does she not like?,she don't like fishing
What is her name?,She is Andrea
How old is she?,she is fourteen years old
What does she like?,she likes eat pizza
What doesn't she like?,she dosen't like eatapples
What does she look like?,She is thin
What does her hair look like?,ahe have blonde curly hair
Where was the picture taken?,this picture was taken outdoors in a park
What was she wearing?,"she was wearing sunglassesn,a pink t-shirt ,white shorts and white trainers"
What does she like?,she loves her puppy and her bike.
How old is she?,She is 14 years old
What is she wearing?,"She is wearing a pink tshirt , a white trainers and a white short"
What things does she like?,She like reading a book eating pizza and drawing.
What does she not like?,SHe dont like fishing tomatoes and singing
What is she doing?,She is riding a bike with hers dog
Who is she?,She is Andrea.
How old is she and what does she look like?,She is 14 years old and she has got a long blond hair and blue eyes.
What has she got?,He has got a little dog and a big bike.
What does she like?,"He likes a read, pizza and maths."
What doesn't she like?,"He doesn`t like sing, apple and fishing."
What does Andrea look like?,Andrea is tall and small.
How old is she?,She is 14 year old.
What does she like?,"She likes music, books and pizza."
What does she like to do?,I can sing and...
Who is she?,she is Andrea.
How old is she?,she is 14 years old.
What are her likes and dislikes?,"she like eat pizza,the mathematics and she like read but his dont like sing,eat apple."
What does she look like?,she is thin
How old is Andrea?,"Andrea is 14 years old"
What is she wearing?,she is wearing a pink buso and white shorts.
What does she like?,"She likes books, eating pizza, and drawing."
What are the things Andrea does not like to do?,"There are things that Andrea does not like to do like singing, go fishing and eating apples."
What is her name?,she is andrea
How old is she?,its fourteen years old
What does she like to do?,she like read books and ride bike
What is her favourite food?,her favourrite food is pizza
What does she not like?,she hate apples
What does she not like?,she don't like sing a fishing.
What color is her hair?,her hair is blonde
What is she wearing?,her clothes are t-shirt its pink and her shot its white
Does she wear glasses?,she it use glasses
Does she have a pet?,she have a dog
What does she like?,she loves mathe
What is her name?,She's Andrea.
How old is she?,She has got 14 years old.
What does she look like?,She's tall and thin.
What is her hair like?,"She has got no vey long blond, staight hair."
What is she wearing?,"She's wearing pink T-shirt, withe shorts, and shoes."
What does she like to do?,She can read a book but she can't sing.
What does she like to eat?,She can eat pizza bjt she can't eat apple.
What does she always do and what does she never do?,She always go to school but she never got to fishing
What does she like?,"she like reading,eat pizza and size"
What doesn't she like?,"she doesn't like singing,eat apples and fishing"
Who is this?,This Andrea.
How old is she?,She is 14 years old.
What does she like?,"She likes reading,eat pizza and drawing."
What doesn't she like?,"she doesen't likes singing,eating apple and fishing"
What is her name?,she is Andrea
How old is she?,she is 14 years old
What does Andrea like?,Andrea likes to read eating pizza and doing geometry work
What does she not like?,"She does not like to sing, to eat apples and to jump from a slide to a picsina"
What is another thing she likes?,she likes to ride a bicycle.
Who is she?,she is Andrea
How old is she?,she has 14 years old
What color is her hair?,she has yellow hair
What is she doing?,she is walking in a bicycle with her dog
How is she dressed?,she is dressed in a pink shirt
What is she wearing?,a shorts is wearing glasses
What does she like to do?,she likes to read eating pizza and writing
What does she not like to do?,she does not like to sing
What does she not like?,she does not like the apple nor does she like fish
Who is she?,she is Andrea
How old is she?,she have 14 years old
What does she like?,"she likes read a book , eat pizza and school objets."
What doesn't she like?,"she dont likes sing , the apples and fishing"
What does Andrea have?,Andrea have a bike and a dog
What does she do?,She rides a bike.
What pet does she have?,He has a dog.
What can you tell me about her?,his shirt is pink and he has glasses.
What is her name?,She is Andrea
How old is she?,she is ten years old
What does she like to do and eat?,she like reading and eat pizza
What can you tell me about her?,"she is a very good student"
What is an activity she dislikes?,she doesn't like sing
What doesn't she like?,",she doesn't like fishing and the apples."
What is her name?,her name is Andrea.
How old is she?,she is 14 years old .
What does she look like?,she is tall and thin .
What kind of hair does she have?,she has got long curly hair.
"What does she like and dislike?",she like pizza and goes to school but she doesnt like apples
What does she like to do?,she likes to read
What does she like?,she likes pizza and drawing
What does she not like?,"She does not like to sing, fish"
What else does she not like?,and does not like apples
What is she wearing?,"She wears a pink shirt, wears a white blazer and wears white tennis shoes."
How old is Andrea?,Andrea is 14 years old
What is she wearing?,she is wearing a jumper shorts and trainers
What has she got?,she has got a dog and a bycicle
What does she do?,she reads eats pizza and does maths
What are the things she doesn't do?,she doesnt sing eat apples and fising
How old is Andrea?,Andrea is 14 years old.
What does she like to do?,She likes read
What is her dog like?,her dog are little and he has little eyes.
What other things does Andrea like?,Andrea likes pizza and do her homeworks
What doesn't she like?,Andrea don't like fish and karaoke .
Who is this?,this is andrea
How old is she?,she has 14 years old
What does she look like?,"she is young,thin and tall"
What is she wearing?,"she she is wearing a t-shirt,shorts and a sport shoes"
What does she like?,"she likes read,pizza and draw"
What doesn't she like?,"she doasen't like sing,apples and fishing"
What can she do?,she can run climb and jump
What can't she do?,she can't fly
What is Andrea's morning routine?,the routine of andrea is in 6 am wake up in 7 am cook in 8 am take a bath in 9 am eat and 10 am go to high school
